scheme_id,selected,direct_score,elite_topsis,sport_variance,sport_range,competition_suspense,hot_match_index,eco_cv,pop_cv,tour_cv,avg_inner_distance_km,geo_cover
D001,,0.678985,0.476140,19.7318,13.5070,0.573182,25.5145,0.746854,0.552388,0.386085,192.8361,3.6875
D002,,0.666578,0.507939,22.2729,16.3597,0.581733,25.4950,0.736270,0.557089,0.368288,182.7277,3.5000
D003,yes,0.732104,0.685712,6.7977,8.2116,0.586636,25.4710,0.739992,0.561676,0.311089,187.1857,3.7500
D004,,0.663405,0.435183,21.6797,19.5805,0.565181,25.4985,0.745112,0.541538,0.357346,190.0533,3.6250
D005,,0.663180,0.451635,21.4509,17.7967,0.581718,25.4868,0.750997,0.568656,0.331814,180.3089,3.3750
