rank,scheme_id,direct_score,elite_topsis,hard_violations,same_city_repeat_index,pair_conflict_index,admin_diversity,sport_variance,sport_range,competition_suspense,hot_match_index,eco_cv,pop_cv,tour_cv,avg_inner_distance_km,geo_cover
1,D001,0.7507904781109815,0.5809072937194913,0,0.0,0.0,4.0,154.51183694452143,41.98377225097656,0.3127772030200929,824.5733895787978,0.576828439484318,0.349812344853933,0.22640903732801768,179.0739674797024,3.5
2,D002,0.7489209821076207,0.37998337921662323,0,0.0,0.0,4.0,163.29920029796793,42.712127632928244,0.29258642751261477,823.8132033504241,0.576185867510409,0.3483233882484596,0.2278579823544438,179.7750661171141,3.625
3,D003,0.7487534135621459,0.5509303820835235,0,0.0,0.0,4.0,161.15440751601588,41.98377225097656,0.28871010782893236,825.5099631122449,0.5877792352600635,0.3577647580495433,0.21972979858370248,174.4805411861383,3.5625
4,D004,0.7486840166199763,0.5800907337152803,0,0.0,0.0,4.0,158.34461148633793,41.98377225097656,0.2831875261613699,825.5517635865011,0.5840388011641572,0.35755714816503276,0.21693669649520264,174.84113101812403,3.5625
5,D005,0.7486548709686361,0.3821515013294196,0,0.0,0.0,4.0,166.23867439339833,42.712127632928244,0.2902072446160417,823.7392268900095,0.5765744181985999,0.3489761297078311,0.2269950647115139,177.6341438467958,3.625
