rank,scheme_id,direct_score,elite_topsis,hard_violations,same_city_repeat_index,pair_conflict_index,admin_diversity,sport_variance,sport_range,competition_suspense,hot_match_index,eco_cv,pop_cv,tour_cv,avg_inner_distance_km,geo_cover
1,D001,0.7549709935696632,0.3546078381531761,0,0.0,0.0,4.0,18.987421347040687,13.814590002564245,0.21327980246368314,727.9151989370633,0.7364655095364384,0.5528396873154257,0.2637135590746856,190.46901973943775,3.625
2,D002,0.7546375211703807,0.3631258139473447,0,0.0,0.0,4.0,18.347881403802802,13.814590002564245,0.21105979730184765,727.9124346514351,0.7352024285114879,0.554443467463555,0.2637151532098967,190.7332273551957,3.625
3,D003,0.7543320048504323,0.6768436651827499,0,0.0,0.0,4.0,11.058745721811313,9.545217028943227,0.18671900663124444,737.824821491586,0.7399915467109647,0.561676199675447,0.31108933740938216,187.18565336456086,3.75
4,D004,0.7539367257799839,0.34472043652685236,0,0.0,0.0,4.0,24.41222312839271,14.460257480212007,0.22406723536561335,732.1014194598571,0.7356447368421041,0.5463654947584823,0.2802100457887775,190.29451386350928,3.5625
5,D005,0.7538908402786634,0.3612481789893681,0,0.0,0.0,4.0,24.335828180417604,14.460257480212007,0.22312954261111065,733.1524981770264,0.7410795051444795,0.5503958339057078,0.2798934912546915,188.38812815276344,3.5625
