format,top16_group_qualification_rate,top8_round16_rate,best_team_champion_rate,early_elimination_event_rate,upset_rate,avg_suspense,total_matches
现行 16 组单循环 + 32 强,0.8735,0.95125,0.769,0.342,0.1986774193548387,0.5065845835554242,127
种子分档单循环 + 32 强,0.8733125,0.94275,0.789,0.386,0.19632258064516128,0.5065845835554242,127
约束淘汰赛对阵,0.8659375,0.945875,0.756,0.371,0.19770967741935483,0.5065845835554242,127
小组双循环 + 32 强,0.91925,0.97575,0.787,0.181,0.20174193548387095,0.5065845835554242,223
瑞士轮 4 轮 + 32 强,0.87,0.94225,0.762,0.391,0.20058064516129032,0.5065845835554242,159
