format,simulations,total_matches,minimum_matches_per_team,champion_max_matches,top16_group_qualification_rate,top8_reach_16_rate,best_team_champion_rate,top8_early_elimination_event_rate,upset_rate,average_suspense
A_current,3000,127.0,3,8,0.7773541666666667,0.6122083333333334,0.4533333333333333,0.6973333333333334,0.1340524934383202,0.18514115737287276
B_seeded,3000,127.0,3,8,0.7758333333333334,0.6107916666666666,0.466,0.6953333333333334,0.13437007874015747,0.18503618307345052
C_constrained_ko,3000,127.0,3,8,0.7736875,0.6209166666666667,0.443,0.6736666666666666,0.13565879265091862,0.1845025185965461
D_double_rr,3000,223.0,6,11,0.8380833333333333,0.6690833333333334,0.4513333333333333,0.5343333333333333,0.1291644245142003,0.19682161734961065
