format,simulations,total_matches,minimum_matches_per_team,champion_max_matches,top16_group_qualification_rate,top8_reach_16_rate,best_team_champion_rate,top8_early_elimination_event_rate,upset_rate,average_suspense
A_current,3000,127.0,3,8,0.7778125,0.6040833333333333,0.45466666666666666,0.707,0.1435984251968504,0.16534740188495062
B_seeded,3000,127.0,3,8,0.7752291666666666,0.6069166666666667,0.4613333333333333,0.7063333333333334,0.14319422572178478,0.16519997911465142
C_constrained_ko,3000,127.0,3,8,0.7743333333333333,0.6195,0.45766666666666667,0.683,0.14434645669291338,0.16429692755215022
D_double_rr,3000,223.0,6,11,0.84075,0.6632916666666666,0.45,0.5456666666666666,0.13928998505231688,0.17398869143927195
