format,simulations,total_matches,minimum_matches_per_team,champion_max_matches,top16_group_qualification_rate,top8_reach_16_rate,best_team_champion_rate,top8_early_elimination_event_rate,upset_rate,average_suspense
A_current,3000,127.0,3,8,0.7302083333333333,0.6726666666666666,0.44433333333333336,0.521,0.06556430446194225,0.2637665323600142
B_seeded,3000,127.0,3,8,0.7295,0.6675833333333333,0.4503333333333333,0.5426666666666666,0.06590813648293964,0.2635446556336438
C_constrained_ko,3000,127.0,3,8,0.72625,0.6863333333333334,0.4723333333333333,0.48833333333333334,0.06679002624671916,0.2625578420697326
D_double_rr,3000,223.0,6,11,0.77,0.7467083333333333,0.44966666666666666,0.32233333333333336,0.05930642750373692,0.28331126606115553
