rank,scheme_id,topsis_score,stability,hard_violations,same_city_repeat_index,pair_conflict_index,admin_diversity,sport_variance,sport_range,competition_suspense,hot_match_index,eco_cv,pop_cv,tour_cv,avg_inner_distance_km,geo_cover
1,S0390,0.6298100684457271,1.0,0,0.0,0.0,4.0,620.3743662363232,89.50114037540581,0.18543168781065192,862.3315755058826,0.6384197213811355,0.4559060871431516,0.3241745799233337,174.186218496391,3.5
2,S1311,0.6273784544972087,1.0,0,0.0,0.0,4.0,547.001164259881,83.73275695842385,0.18026807340897202,848.1209551869576,0.5982887466719243,0.4209285715920099,0.3054897543729638,177.20098251486993,3.5625
3,S0176,0.6216760101465665,1.0,0,0.0,0.0,4.0,663.5051700388619,86.39593080632534,0.18298421674094834,877.3079885300494,0.680675681288177,0.474903625643157,0.35960502026631397,168.96362826221952,3.3125
4,S1945,0.6147518783160497,1.0,0,0.0,0.0,4.0,577.079181784285,77.06635544095982,0.18395195726889468,856.8143103609113,0.6335324056300948,0.4798235366422471,0.2950630279028988,178.79784477348042,3.375
5,S1458,0.6130228723247579,1.0,0,0.0,0.0,4.0,741.3510111642464,89.93408523100727,0.1879913767968132,907.9867987430489,0.7487476472654917,0.5284247742942164,0.4116985501203062,164.48507432755218,3.4375
6,S1054,0.6128064386965083,1.0,0,0.0,0.0,4.0,474.21163814038744,82.21572366443097,0.17232106550550128,860.1228572103398,0.6313015715320999,0.4559055837666462,0.30484087231503054,179.80389920995935,3.5
7,S1129,0.6119312002901558,1.0,0,0.0,0.0,4.0,688.9762031429929,91.45082196607632,0.19445316837943627,859.6926042335486,0.6472301347127064,0.47088781360919746,0.32017715054187984,177.09893808889657,3.5
8,S0589,0.6116038464641075,1.0,0,0.0,0.0,4.0,632.9938027031016,98.92011680051914,0.16453731626619694,842.6681981031752,0.5862190479871289,0.4131986248292319,0.29379639547358344,163.15009385295593,3.3125
9,S0912,0.6070445069787528,1.0,0,0.0,0.0,4.0,530.9162460257689,82.68211935605933,0.17619172910194253,853.3616646536011,0.6106634319032239,0.4334329205924946,0.3330180615395473,178.9129066967209,3.5
10,S0248,0.6067434789011766,1.0,0,0.0,0.0,4.0,426.6525159474076,63.61310137403106,0.16381123600061473,847.3407855719677,0.6081853611951478,0.4389704095528648,0.30760067994840584,178.10998611636597,3.375
11,S1135,0.6024593961583217,1.0,0,0.0,0.0,4.0,552.4340475410338,76.36174127524328,0.17543790865519893,878.8602506407026,0.7000893911706724,0.4874101972148111,0.3495496551513965,175.7869897552025,3.3125
12,S0476,0.6020193352867428,1.0,0,0.0,0.0,4.0,556.2822060321458,74.6812221024356,0.17438747044119357,884.713831723204,0.6665518516922122,0.48428502393032324,0.38044211019515145,178.79763693831092,3.4375
