pool_id,source_scheme_id,topsis_score,hard_violations,same_city_repeat_index,pair_conflict_index,admin_diversity,sport_variance,sport_range,competition_suspense,hot_match_index,eco_cv,pop_cv,tour_cv,avg_inner_distance_km,geo_cover,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16
P0011,S1135,0.602459396158,0,0.000000000000,0.000000000000,4.000000000000,552.434047541034,76.361741275243,0.175437908655,878.860250640703,0.700089391171,0.487410197215,0.349549655151,175.786989755203,3.312500000000,杭州市、平阳县、青田县、永康市,宁波市、仙居县、诸暨市、义乌市,温州市、临海市、松阳县、开化县,嘉兴市、慈溪市、龙泉市、淳安县,湖州市、余姚市、新昌县、东阳市,绍兴市、桐乡市、云和县、兰溪市,金华市、海盐县、象山县、长兴县,衢州市、海宁市、嵊州市、建德市,舟山市、三门县、江山市、武义县,台州市、文成县、龙游县、桐庐县,丽水市、泰顺县、常山县、嵊泗县,瑞安市、平湖市、遂昌县、浦江县,永嘉县、温岭市、宁海县、德清县,乐清市、天台县、景宁畲族自治县、磐安县,苍南县、玉环市、庆元县、岱山县,龙港市、嘉善县、缙云县、安吉县
P0012,S0476,0.602019335287,0,0.000000000000,0.000000000000,4.000000000000,556.282206032146,74.681222102436,0.174387470441,884.713831723204,0.666551851692,0.484285023930,0.380442110195,178.797636938311,3.437500000000,杭州市、景宁畲族自治县、江山市、义乌市,宁波市、云和县、岱山县、德清县,温州市、遂昌县、新昌县、长兴县,嘉兴市、乐清市、诸暨市、永康市,湖州市、松阳县、龙港市、建德市,绍兴市、桐乡市、文成县、兰溪市,金华市、海宁市、象山县、桐庐县,衢州市、天台县、泰顺县、余姚市,舟山市、海盐县、常山县、淳安县,台州市、平湖市、瑞安市、宁海县,丽水市、平阳县、嵊州市、安吉县,临海市、庆元县、嵊泗县、慈溪市,温岭市、缙云县、开化县、武义县,玉环市、青田县、苍南县、东阳市,三门县、龙泉市、永嘉县、磐安县,仙居县、嘉善县、龙游县、浦江县
P0013,S1061,0.600300164819,0,0.000000000000,0.000000000000,4.000000000000,567.125660787497,81.952724672014,0.165329253906,864.223907470099,0.669412147108,0.460511122928,0.329465434608,173.450501924686,3.437500000000,杭州市、海盐县、仙居县、德清县,宁波市、嘉善县、云和县、安吉县,温州市、开化县、庆元县、义乌市,嘉兴市、江山市、缙云县、新昌县,湖州市、永嘉县、东阳市、诸暨市,绍兴市、乐清市、兰溪市、建德市,金华市、余姚市、临海市、长兴县,衢州市、桐乡市、松阳县、武义县,舟山市、龙游县、龙泉市、磐安县,台州市、平阳县、青田县、淳安县,丽水市、常山县、温岭市、桐庐县,文成县、慈溪市、遂昌县、永康市,龙港市、海宁市、玉环市、嵊州市,泰顺县、宁海县、三门县、岱山县,瑞安市、象山县、天台县、嵊泗县,苍南县、平湖市、景宁畲族自治县、浦江县
P0014,S1099,0.598342631599,0,0.000000000000,0.000000000000,4.000000000000,484.040512677958,76.488710986830,0.174125465712,861.033198870239,0.654903665886,0.470699148721,0.311822225210,183.779495864030,3.625000000000,杭州市、东阳市、瑞安市、岱山县,宁波市、永康市、景宁畲族自治县、仙居县,温州市、磐安县、诸暨市、德清县,嘉兴市、庆元县、余姚市、临海市,湖州市、武义县、青田县、平阳县,绍兴市、遂昌县、文成县、长兴县,金华市、桐乡市、象山县、嵊州市,衢州市、松阳县、桐庐县、三门县,舟山市、平湖市、龙泉市、安吉县,台州市、海盐县、淳安县、泰顺县,丽水市、浦江县、龙港市、玉环市,常山县、海宁市、永嘉县、温岭市,开化县、云和县、宁海县、苍南县,龙游县、缙云县、乐清市、嵊泗县,兰溪市、嘉善县、慈溪市、天台县,江山市、义乌市、建德市、新昌县
P0015,S0546,0.598243660841,0,0.000000000000,0.000000000000,4.000000000000,668.167262266308,103.684694917051,0.165913043535,836.955969858079,0.562798617860,0.395415284239,0.287403444913,159.968646882199,3.062500000000,杭州市、磐安县、龙泉市、嵊泗县,宁波市、瑞安市、青田县、开化县,温州市、武义县、松阳县、临海市,嘉兴市、龙港市、三门县、岱山县,湖州市、兰溪市、缙云县、常山县,绍兴市、义乌市、平湖市、德清县,金华市、文成县、景宁畲族自治县、仙居县,衢州市、永康市、桐乡市、安吉县,舟山市、泰顺县、天台县、慈溪市,台州市、苍南县、遂昌县、象山县,丽水市、浦江县、海盐县、江山市,诸暨市、乐清市、庆元县、玉环市,建德市、东阳市、云和县、龙游县,淳安县、永嘉县、嘉善县、长兴县,桐庐县、新昌县、海宁市、宁海县,嵊州市、平阳县、温岭市、余姚市
P0016,S0098,0.598115699595,0,0.000000000000,0.000000000000,4.000000000000,497.107035831621,86.315026907148,0.149543309207,856.021948088311,0.614190742767,0.432453642236,0.335678107740,169.726456193747,3.500000000000,杭州市、青田县、长兴县、永康市,宁波市、三门县、德清县、嵊泗县,温州市、遂昌县、龙游县、义乌市,嘉兴市、临海市、瑞安市、慈溪市,湖州市、海盐县、常山县、诸暨市,绍兴市、仙居县、安吉县、岱山县,金华市、松阳县、永嘉县、新昌县,衢州市、云和县、平阳县、兰溪市,舟山市、缙云县、文成县、武义县,台州市、平湖市、江山市、宁海县,丽水市、嘉善县、龙港市、东阳市,庆元县、温岭市、海宁市、浦江县,景宁畲族自治县、天台县、泰顺县、嵊州市,建德市、桐乡市、开化县、磐安县,淳安县、龙泉市、乐清市、余姚市,桐庐县、玉环市、苍南县、象山县
P0017,S0469,0.598009571598,0,0.000000000000,0.000000000000,4.000000000000,552.285115946031,88.811936113373,0.200564128273,842.690294603259,0.609888397697,0.428511769794,0.241098179474,187.878078414227,3.375000000000,杭州市、海盐县、临海市、苍南县,宁波市、兰溪市、龙泉市、平阳县,温州市、义乌市、松阳县、嵊州市,嘉兴市、常山县、玉环市、永嘉县,湖州市、龙游县、温岭市、龙港市,绍兴市、嘉善县、云和县、乐清市,金华市、开化县、景宁畲族自治县、新昌县,衢州市、长兴县、建德市、三门县,舟山市、武义县、缙云县、泰顺县,台州市、平湖市、遂昌县、瑞安市,丽水市、海宁市、德清县、文成县,宁海县、磐安县、桐庐县、仙居县,余姚市、浦江县、青田县、诸暨市,永康市、江山市、庆元县、嵊泗县,慈溪市、桐乡市、淳安县、天台县,象山县、东阳市、安吉县、岱山县
P0018,S1810,0.596580636187,0,0.000000000000,0.000000000000,4.000000000000,576.459422818574,79.834097473439,0.187133738583,854.668752191258,0.621678457170,0.441403149275,0.312260286235,183.922491440421,3.375000000000,杭州市、仙居县、瑞安市、长兴县,宁波市、云和县、平阳县、开化县,温州市、松阳县、新昌县、德清县,嘉兴市、三门县、苍南县、常山县,湖州市、海盐县、龙港市、慈溪市,绍兴市、海宁市、桐庐县、龙游县,金华市、桐乡市、文成县、江山市,衢州市、天台县、义乌市、泰顺县,舟山市、青田县、武义县、宁海县,台州市、东阳市、岱山县、乐清市,丽水市、嘉善县、磐安县、象山县,缙云县、永康市、淳安县、安吉县,景宁畲族自治县、玉环市、嵊泗县、永嘉县,遂昌县、温岭市、浦江县、嵊州市,庆元县、平湖市、兰溪市、余姚市,龙泉市、临海市、建德市、诸暨市
P0019,S1183,0.596416300112,0,0.000000000000,0.000000000000,4.000000000000,512.497789817762,90.415952927003,0.180076061548,858.406311544241,0.625505334727,0.443343988441,0.323289550593,182.640658379826,3.500000000000,杭州市、义乌市、慈溪市、龙游县,宁波市、泰顺县、新昌县、三门县,温州市、东阳市、温岭市、江山市,嘉兴市、嵊泗县、遂昌县、临海市,湖州市、永康市、庆元县、天台县,绍兴市、岱山县、缙云县、海盐县,金华市、龙泉市、嵊州市、长兴县,衢州市、文成县、诸暨市、平湖市,舟山市、浦江县、青田县、嘉善县,台州市、平阳县、松阳县、开化县,丽水市、苍南县、宁海县、桐乡市,桐庐县、永嘉县、象山县、海宁市,瑞安市、兰溪市、余姚市、安吉县,建德市、武义县、云和县、玉环市,淳安县、乐清市、仙居县、德清县,龙港市、磐安县、景宁畲族自治县、常山县
P0020,S0208,0.595998230571,0,0.000000000000,0.000000000000,4.000000000000,615.565977863580,88.453071276122,0.169272179148,886.043317982867,0.637604596257,0.479628325137,0.377542240988,176.474570323945,3.437500000000,杭州市、云和县、泰顺县、永康市,宁波市、乐清市、安吉县、新昌县,温州市、德清县、嘉善县、诸暨市,嘉兴市、文成县、三门县、东阳市,湖州市、岱山县、天台县、兰溪市,绍兴市、嵊泗县、玉环市、余姚市,金华市、青田县、桐乡市、龙游县,衢州市、龙泉市、长兴县、嵊州市,舟山市、瑞安市、武义县、慈溪市,台州市、平阳县、海盐县、象山县,丽水市、桐庐县、温岭市、磐安县,庆元县、苍南县、浦江县、常山县,缙云县、永嘉县、仙居县、江山市,景宁畲族自治县、建德市、临海市、开化县,遂昌县、龙港市、平湖市、义乌市,松阳县、淳安县、海宁市、宁海县
